state,date,new_cases,new_deaths,total_cases,new_deaths,people_vaccinated_per_hundred
PW,2021-03-24,0,0,0,0,
PW,2021-11-17,0,0,10,0,
TX,2021-11-20,2670,87,4289373,87,63.3
PR,2021-02-20,167,0,100394,0,9.9
AK,2021-08-24,564,13,81097,13,53.4
CO,2020-11-17,4720,30,181179,30,
MP,2021-08-04,0,0,198,0,57.7
OK,2020-03-03,4,0,43,0,
UT,2021-05-31,143,1,406170,1,45.3
OK,2021-02-26,391,14,432525,14,16.4
CO,2020-07-12,378,0,37874,0,
GA,2020-05-31,729,49,45612,49,
AK,2020-05-13,1,0,384,0,
MP,2021-10-28,0,0,291,0,63.8
AK,2021-07-09,59,2,68791,2,50.2
AS,2021-08-03,0,0,0,0,52.1
WV,2022-01-12,4440,29,367217,29,62.6
AR,2021-07-04,414,2,351407,2,42.4
MA,2021-05-30,162,4,706945,4,66.2
CO,2021-03-07,897,3,446514,3,18.2
WV,2020-07-10,157,0,3983,0,
WV,2021-06-11,94,1,162939,1,41.8
NYC,2020-11-01,874,10,268965,10,
FL,2020-01-28,0,0,0,0,
PR,2020-06-05,19,0,1421,0,
CO,2021-11-13,3262,0,794560,0,69.0
UT,2020-01-25,0,0,0,0,
HI,2020-10-18,82,1,13989,1,
